chinese,pinyin
爸爸送给我一个新手机。,Bàba sònggěi wǒ yí ge xīn shǒujī.
他卖给我一本中文书。,Tā màigěi wǒ yì běn Zhōngwén shū.
你（是）喝茶，还是喝咖啡？,"Nǐ (shì) hē chá, háishi hē kāfēi?"
你（是）喜欢白色的，还是黑色的？,"Nǐ (shì) xǐhuan báisè de, háishi hēisè de?"
虽然学习的时间不长，但是他汉语说得很好。,"Suīrán xuéxí de shíjiān bù cháng, dànshì tā Hànyǔ shuō de hěn hǎo."
学汉语虽然难，但是很有意思。,"Xué Hànyǔ suīrán nán, dànshì hěn yǒuyìsi."
因为机票太贵了，所以我准备坐火车去。,"Yīnwèi jīpiào tài guì le, suǒyǐ wǒ zhǔnbèi zuò huǒchē qù."
因为我爸爸在中国工作，所以我来这儿学习中文。,"Yīnwèi wǒ bàba zài Zhōngguó gōngzuò, suǒyǐ wǒ lái zhèr xuéxí Zhōngwén."
他一下课就去打篮球了。,Tā yí xià kè jiù qù dǎ lánqiú le.
我一到商场就想买东西。,Wǒ yí dào shāngchǎng jiù xiǎng mǎi dōngxi.
门开着，你进去吧。,"Mén kāizhe, nǐ jìnqù ba."
别站着，快请坐。,"Bié zhànzhe, kuài qǐng zuò."
他们正吃着饭呢。,Tāmen zhèng chīzhe fàn ne.
教室里正上着课呢。,Jiàoshì lǐ zhèng shàngzhe kè ne.
你学过中文吗？,Nǐ xuéguo Zhōngwén ma?
我没去过北京。,Wǒ méi qùguo Běijīng.
我的房间在三楼。,Wǒ de fángjiān zài sān lóu.
你可以坐304路公交车。,Nǐ kěyǐ zuò sān líng sì lù gōngjiāochē.
这几件衣服你帮我洗一下。,Zhè jǐ jiàn yīfu nǐ bāng wǒ xǐ yíxià.
我们学校有几百名外国学生。,Wǒmen xuéxiào yǒu jǐbǎi míng wàiguó xuésheng.
教室里有二十多个学生。,Jiàoshì lǐ yǒu èrshí duō ge xuésheng.
那个手机五千多块钱。,Nàge shǒujī wǔqiān duō kuài qián.
我来中国已经三年多了。,Wǒ lái Zhōngguó yǐjīng sān nián duō le.
王老师的儿子今年六岁多了。,Wáng lǎoshī de érzi jīnnián liù suì duō le.
这家饭店的经理老李是我的朋友。,Zhè jiā fàndiàn de jīnglǐ Lǎo Lǐ shì wǒ de péngyou.
你听说过这个画家吗？,Nǐ tīngshuōguo zhège huàjiā ma?
屋子有点儿小，可是很干净。,"Wūzi yǒudiǎnr xiǎo, kěshì hěn gānjìng."
她以前是一名羽毛球运动员。,Tā yǐqián shì yì míng yǔmáoqiú yùndòngyuán.
我听说北方的冬天很冷。,Wǒ tīngshuō běifāng de dōngtiān hěn lěng.
中国的北方和南方我都去过。,Zhōngguó de běifāng hé nánfāng wǒ dōu qùguo.
你们两个人中间的那个人是谁？,Nǐmen liǎng ge rén zhōngjiān de nàge rén shì shéi?
东方人和西方人的生活习惯不太一样。,Dōngfāngrén hé xīfāngrén de shēnghuó xíguàn bú tài yíyàng.
从这儿过去，大概需要多长时间？,"Cóng zhèr guòqù, dàgài xūyào duō cháng shíjiān?"
医生说我感冒了，需要吃药。,"Yīshēng shuō wǒ gǎnmào le, xūyào chī yào."
已经十一点了，你该睡觉了。,"Yǐjīng shíyī diǎn le, nǐ gāi shuìjiào le."
你学了一天了，该休息休息了。,"Nǐ xuéle yì tiān le, gāi xiūxi xiūxi le."
我们应该多练习说中文。,Wǒmen yīnggāi duō liànxí shuō Zhōngwén.
我要去动物园，应该怎么坐车呢？,"Wǒ yào qù dòngwùyuán, yīnggāi zěnme zuò chē ne?"
你愿意帮我学习汉语吗？,Nǐ yuànyì bāng wǒ xuéxí Hànyǔ ma?
我很愿意参加这次汉语比赛。,Wǒ hěn yuànyì cānjiā zhè cì Hànyǔ bǐsài.
要上课了，咱们得快点儿走。,"Yào shàng kè le, zánmen děi kuài diǎnr zǒu."
我明天有考试，今天得认真复习。,"Wǒ míngtiān yǒu kǎoshì, jīntiān děi rènzhēn fùxí."
我放了假就准备去旅游。,Wǒ fàngle jià jiù zhǔnbèi qù lǚyóu.
我们已经很长时间没见过面了。,Wǒmen yǐjīng hěn cháng shíjiān méi jiànguo miàn le.
结了婚以后，你还打算工作吗？,"Jiéle hūn yǐhòu, nǐ hái dǎsuàn gōngzuò ma?"
你先去洗个澡，休息一会儿。,"Nǐ xiān qù xǐ ge zǎo, xiūxi yíhuìr."
我打不开这瓶水，你能帮帮我吗？,"Wǒ dǎbukāi zhè píng shuǐ, nǐ néng bāngbang wǒ ma?"
黑板上的字你看得见吗？,Hēibǎn shàng de zì nǐ kàndejiàn ma?
他已经离不开这个地方了。,Tā yǐjīng líbukāi zhège dìfang le.
今天的作业我可能完不成了。,Jīntiān de zuòyè wǒ kěnéng wánbuchéng le.
我的中文越来越好，跟老师的帮助是分不开的。,"Wǒ de Zhōngwén yuèláiyuè hǎo, gēn lǎoshī de bāngzhù shì fēnbukāi de."
怎样才能学好中文呢？,Zěnyàng cái néng xuéhǎo Zhōngwén ne?
他是怎样一个人？,Tā shì zěnyàng yí ge rén?
这次旅行谁都可以参加。,Zhè cì lǚxíng shéi dōu kěyǐ cānjiā.
我最近感冒了，哪儿都没去。,"Wǒ zuìjìn gǎnmào le, nǎr dōu méi qù."
谁感兴趣谁就去参加。,Shéi gǎn xìngqù shéi jiù qù cānjiā.
你想吃什么就点什么吧。,Nǐ xiǎng chī shénme jiù diǎn shénme ba.
我好像在哪儿见过她。,Wǒ hǎoxiàng zài nǎr jiànguo tā.
你先吃点儿什么再走吧。,Nǐ xiān chī diǎnr shénme zài zǒu ba.
我下周搬家，想请谁来帮帮忙。,"Wǒ xià zhōu bānjiā, xiǎng qǐng shéi lái bāngbangmáng."
咱们哪天一起去踢足球吧。,Zánmen nǎ tiān yìqǐ qù tī zúqiú ba.
我不太清楚，你问问别人吧。,"Wǒ bú tài qīngchu, nǐ wènwen biéren ba."
别人能学好，我也一定能学好。,"Biéren néng xuéhǎo, wǒ yě yídìng néng xuéhǎo."
咱们明天一起去动物园，怎么样？,"Zánmen míngtiān yìqǐ qù dòngwùyuán, zěnmeyàng?"
要迟到了，咱们快走吧。,"Yào chídào le, zánmen kuài zǒu ba."
除了北京，你还去过别的城市吗？,"Chúle Běijīng, nǐ hái qùguo bié de chéngshì ma?"
我喜欢学习别的国家的语言和文化。,Wǒ xǐhuan xuéxí bié de guójiā de yǔyán hé wénhuà.
其他同学都回国了，只有我还在中国。,"Qítā tóngxué dōu huí guó le, zhǐyǒu wǒ hái zài Zhōngguó."
除了看足球比赛，你还有其他爱好吗？,"Chúle kàn zúqiú bǐsài, nǐ hái yǒu qítā àihào ma?"
下雨了，记得带一把伞。,"Xià yǔ le, jìde dài yì bǎ sǎn."
我在网上买了两双鞋。,Wǒ zài wǎngshàng mǎile liǎng shuāng xié.
桌子上放着几张照片。,Zhuōzi shàng fàngzhe jǐ zhāng zhàopiàn.
这里有多少种水果？,Zhèlǐ yǒu duōshao zhǒng shuǐguǒ?
我们的教室在四层。,Wǒmen de jiàoshì zài sì céng.
我想给我的爸爸妈妈写一封信。,Wǒ xiǎng gěi wǒ de bàba māma xiě yì fēng xìn.
请大家打开书，第五页。,"Qǐng dàjiā dǎkāi shū, dì wǔ yè."
那辆黑色的自行车是我的。,Nà liàng hēisè de zìxíngchē shì wǒ de.
我每周都有一节中文课。,Wǒ měi zhōu dōu yǒu yì jié Zhōngwén kè.
这个城市一共有三所大学。,Zhège chéngshì yígòng yǒu sān suǒ dàxué.
咱们坐下一班地铁走吧。,Zánmen zuò xià yì bān dìtiě zǒu ba.
请大家用这些词写一段话。,Qǐng dàjiā yòng zhèxiē cí xiě yí duàn huà.
爷爷家里养了十几头牛。,Yéye jiā lǐ yǎngle shí jǐ tóu niú.
这句话是什么意思？,Zhè jù huà shì shénme yìsi?
苹果多少钱一斤/公斤？,Píngguǒ duōshao qián yì jīn/gōngjīn?
这些一共八块五角（毛）钱。,Zhèxiē yígòng bā kuài wǔ jiǎo (máo) qián.
现在八点一刻。,Xiànzài bā diǎn yí kè.
我哥哥身高一米八五。,Wǒ gēge shēngāo yì mǐ bā wǔ.
我要一碗面条和一碗米饭。,Wǒ yào yì wǎn miàntiáo hé yì wǎn mǐfàn.
中午我在食堂吃了一盘饺子。,Zhōngwǔ wǒ zài shítáng chīle yì pán jiǎozi.
他喝了一口茶，然后开始工作。,"Tā hēle yì kǒu chá, ránhòu kāishǐ gōngzuò."
我已经说过好几回了，但他还是不记得。,"Wǒ yǐjīng shuōguo hǎo jǐ huí le, dàn tā háishi bú jìde."
对不起，我没听懂，请再说一遍。,"Duìbuqǐ, wǒ méi tīngdǒng, qǐng zài shuō yí biàn."
她跟我说了一声“谢谢”就走了。,"Tā gēn wǒ shuōle yì shēng ""xièxie"" jiù zǒu le."
这些苹果个个都很大。,Zhèxiē píngguǒ gègè dōu hěn dà.
他画的画，张张都很漂亮。,"Tā huà de huà, zhāngzhāng dōu hěn piàoliang."
这本书的内容比较简单，我读得很快。,"Zhè běn shū de nèiróng bǐjiào jiǎndān, wǒ dú de hěn kuài."
外面太热了，屋子里还凉快一些。,"Wàimian tài rè le, wūzi lǐ hái liángkuai yìxiē."
搬家以后，我们的生活更方便了。,"Bānjiā yǐhòu, wǒmen de shēnghuó gèng fāngbiàn le."
我弟弟特别喜欢看足球比赛。,Wǒ dìdi tèbié xǐhuan kàn zúqiú bǐsài.
多穿点儿衣服，外面挺冷的。,"Duō chuān diǎnr yīfu, wàimian tǐng lěng de."
孩子这么晚还没回来，妈妈心里有些着急。,"Háizi zhème wǎn hái méi huílái, māma xīnli yǒuxiē zháojí."
冬天快要到了，天气越来越冷了。,"Dōngtiān kuàiyào dào le, tiānqì yuèláiyuè lěng le."
我对中国历史极有兴趣。,Wǒ duì Zhōngguó lìshǐ jí yǒu xìngqù.
他工作特别忙，周末极少休息。,"Tā gōngzuò tèbié máng, zhōumò jí shǎo xiūxi."
我就要两斤苹果，不要别的。,"Wǒ jiù yào liǎng jīn píngguǒ, bú yào bié de."
办公室里就张老师一个人。,Bàngōngshì lǐ jiù Zhāng lǎoshī yí ge rén.
你跟我一块儿去图书馆，好吗？,"Nǐ gēn wǒ yíkuàir qù túshūguǎn, hǎo ma?"
我们经常一块儿踢足球。,Wǒmen jīngcháng yíkuàir tī zúqiú.
你们班一共有多少留学生？,Nǐmen bān yígòng yǒu duōshao liúxuéshēng?
这些水果一共多少钱？,Zhèxiē shuǐguǒ yígòng duōshao qián?
我只有一个哥哥，没有弟弟妹妹。,"Wǒ zhǐyǒu yí ge gēge, méiyǒu dìdi mèimei."
她只说了自己的名字，没说别的。,"Tā zhǐ shuōle zìjǐ de míngzi, méi shuō bié de."
公园里到处都是锻炼身体的老人。,Gōngyuán lǐ dàochù dōu shì duànliàn shēntǐ de lǎorén.
她只是笑了笑，一句话也没说。,"Tā zhǐshì xiàole xiào, yí jù huà yě méi shuō."
他才到家，还没有吃饭呢。,"Tā cái dào jiā, hái méiyǒu chī fàn ne."
我才搬来北京，还不太习惯这里的生活,"Wǒ cái bānlái Běijīng, hái bú tài xíguàn zhèlǐ de shēnghuó"
请等一下，我马上来。,"Qǐng děng yí xià, wǒ mǎshàng lái."
接了电话，她马上就跑出去了。,"Jiēle diànhuà, tā mǎshàng jiù pǎochūqu le."
你先走吧，我还有工作要做。,"Nǐ xiān zǒu ba, wǒ hái yǒu gōngzuò yào zuò."
我想先洗个澡，然后再写作业。,"Wǒ xiǎng xiān xǐ ge zǎo, ránhòu zài xiě zuòyè."
最近天气变化很快，一会儿阴，一会儿晴。,"Zuìjìn tiānqì biànhuà hěn kuài, yíhuìr yīn, yíhuìr qíng."
他刚开始学汉语，说得还不太好。,"Tā gāng kāishǐ xué Hànyǔ, shuō de hái bú tài hǎo."
报纸是早上刚送来的。,Bàozhǐ shì zǎoshang gāng sònglái de.
刚刚还是晴天，怎么突然下雨了？,"Gānggāng hái shì qíngtiān, zěnme tūrán xià yǔ le?"
他不在，刚刚出去。,"Tā bú zài, gānggāng chūqù."
我一直都住在北京。,Wǒ yìzhí dōu zhù zài Běijīng.
别出去了，外面一直在下雨。,"Bié chūqù le, wàimian yìzhí zài xià yǔ."
一到冬天，孩子就总生病。,"Yí dào dōngtiān, háizi jiù zǒng shēngbìng."
上学的时候，我总是让爸爸开车送我。,"Shàng xué de shíhou, wǒ zǒngshì ràng bàba kāi chē sòng wǒ."
那个电影太有意思了，我昨天又看了一遍。,"Nàge diànyǐng tài yǒuyìsi le, wǒ zuótiān yòu kànle yí biàn."
下课以后，我常常去体育馆打篮球。,"Xià kè yǐhòu, wǒ chángcháng qù tǐyùguǎn dǎ lánqiú."
孩子们高兴地一边唱歌一边跳舞。,Háizimen gāoxìng de yìbiān chànggē yìbiān tiàowǔ.
我想找一个工作，一边工作一边学习。,"Wǒ xiǎng zhǎo yí ge gōngzuò, yìbiān gōngzuò yìbiān xuéxí."
他大概已经回家了。,Tā dàgài yǐjīng huí jiā le.
你们学校大概有多少留学生？,Nǐmen xuéxiào dàgài yǒu duōshao liúxuéshēng?
我必须做完才能下班。,Wǒ bìxū zuòwán cái néng xià bān.
老师要求我们必须每天复习。,Lǎoshī yāoqiú wǒmen bìxū měitiān fùxí.
我学习中文差不多三年了。,Wǒ xuéxí Zhōngwén chàbuduō sān nián le.
我跟哥哥差不多高。,Wǒ gēn gēge chàbuduō gāo.
放心，我一定不会迟到。,"Fàngxīn, wǒ yídìng bú huì chídào."
我明天不一定有时间。,Wǒ míngtiān bù yídìng yǒu shíjiān.
她好像没有明白我的意思。,Tā hǎoxiàng méiyǒu míngbai wǒ de yìsi.
我好像在哪里见过她。,Wǒ hǎoxiàng zài nǎlǐ jiànguo tā.
他几乎每天都去图书馆学习。,Tā jīhū měitiān dōu qù túshūguǎn xuéxí.
他太忙了，几乎没有时间休息。,"Tā tài máng le, jīhū méiyǒu shíjiān xiūxi."
我当然愿意帮助你。,Wǒ dāngrán yuànyì bāngzhù nǐ.
当然没问题，欢迎你参加。,"Dāngrán méi wèntí, huānyíng nǐ cānjiā."
这个问题其实不难。,Zhège wèntí qíshí bù nán.
我以为他回国了，其实他一直在中国。,"Wǒ yǐwéi tā huí guó le, qíshí tā yìzhí zài Zhōngguó."
经过一年多的努力，工作终于完成了。,"Jīngguò yì nián duō de nǔlì, gōngzuò zhōngyú wánchéng le."
考试终于都结束了，我太开心了。,"Kǎoshì zhōngyú dōu jiéshù le, wǒ tài kāixīn le."
课文有点儿难，我读了三遍才2明白。,"Kèwén yǒudiǎnr nán, wǒ dúle sān biàn cái míngbai."
这些旧书才3卖了二十多块钱。,Zhèxiē jiù shū cái màile èrshí duō kuài qián.
她今天六点半就起床了。,Tā jīntiān liù diǎn bàn jiù qǐchuáng le.
这个句子不难，我听一遍就懂了。,"Zhège jùzi bù nán, wǒ tīng yí biàn jiù dǒng le."
你可以用手机买票，不必去车站，非常方便。,"Nǐ kěyǐ yòng shǒujī mǎi piào, búbì qù chēzhàn, fēicháng fāngbiàn."
不用担心，我们帮你一起准备。,"Búyòng dānxīn, wǒmen bāng nǐ yìqǐ zhǔnbèi."
生日快乐，这是我为你做的蛋糕。,"Shēngrì kuàilè, zhè shì wǒ wèi nǐ zuò de dàngāo."
大家为这次比赛做了很多准备。,Dàjiā wèi zhè cì bǐsài zuòle hěn duō zhǔnbèi.
如果你不能去上课，应该向老师请假。,"Rúguǒ nǐ bù néng qù shàng kè, yīnggāi xiàng lǎoshī qǐngjià."
老师让我们向她学习。,Lǎoshī ràng wǒmen xiàng tā xuéxí.
关于这个问题，我们还需要认真讨论。,"Guānyú zhège wèntí, wǒmen hái xūyào rènzhēn tǎolùn."
关于比赛的时间，我明天一定告诉大家。,"Guānyú bǐsài de shíjiān, wǒ míngtiān yídìng gàosu dàjiā."
他向门口走去，好像准备离开。,"Tā xiàng ménkǒu zǒuqù, hǎoxiàng zhǔnbèi líkāi."
老师让大家看向前边。,Lǎoshī ràng dàjiā kànxiàng qiánbian.
为了身体健康，我们应该坚持锻炼。,"Wèile shēntǐ jiànkāng, wǒmen yīnggāi jiānchí duànliàn."
妈妈经常为了工作睡得很晚。,Māma jīngcháng wèile gōngzuò shuì de hěn wǎn.
大家都为我的好成绩感到高兴。,Dàjiā dōu wèi wǒ de hǎo chéngjì gǎndào gāoxìng.
同学们都在为下个星期的考试做准备。,Tóngxuémen dōu zài wèi xià ge xīngqī de kǎoshì zuò zhǔnbèi.
你把箱子放在这儿吧。,Nǐ bǎ xiāngzi fàng zài zhèr ba.
我的自行车被朋友借走了。,Wǒ de zìxíngchē bèi péngyou jièzǒu le.
大家可以根据兴趣选择自己喜欢的运动。,Dàjiā kěyǐ gēnjù xìngqù xuǎnzé zìjǐ xǐhuan de yùndòng.
根据要求，我们必须参加明天的会议。,"Gēnjù yāoqiú, wǒmen bìxū cānjiā míngtiān de huìyì."
我喝茶或/或者咖啡都可以。,Wǒ hē chá huò/huòzhě kāfēi dōu kěyǐ.
我们可以打车或/或者坐地铁去。,Wǒmen kěyǐ dǎ chē huò/huòzhě zuò dìtiě qù.
只有大家一起想办法，才能解决这个问题。,"Zhǐyǒu dàjiā yìqǐ xiǎng bànfǎ, cái néng jiějué zhège wèntí."
只要你想学，就一定能学好。,"Zhǐyào nǐ xiǎng xué, jiù yídìng néng xuéhǎo."
我不但学习了中文，而且认识了很多新朋友。,"Wǒ búdàn xuéxíle Zhōngwén, érqiě rènshile hěn duō xīn péngyou."
如果你有时间，我想请你参加我的生日晚会。,"Rúguǒ nǐ yǒu shíjiān, wǒ xiǎng qǐng nǐ cānjiā wǒ de shēngrì wǎnhuì."
她特别想来中国看看，可一直没有合适的机会。,"Tā tèbié xiǎng lái Zhōngguó kànkan, kě yìzhí méiyǒu héshì de jīhuì."
我很早就到了机场，可是没想到飞机晚点了。,"Wǒ hěn zǎo jiù dàole jīchǎng, kěshì méi xiǎngdào fēijī wǎndiǎn le."
你先去那边买票，然后过来找我。,"Nǐ xiān qù nàbian mǎi piào, ránhòu guòlái zhǎo wǒ."
你喜欢的话，就送给你吧。,"Nǐ xǐhuan dehuà, jiù sònggěi nǐ ba."
如果明天下雨的话，我们就不去爬山了。,"Rúguǒ míngtiān xià yǔ dehuà, wǒmen jiù bú qù páshān le."
首都北京、她一个人、我们学生,"Shǒudū Běijīng, tā yí ge rén, wǒmen xuésheng"
漂亮极了、累坏了、看不懂、写得完,"Piàoliang jíle, lèihuài le, kànbudǒng, xiědewán"
工作要一步一步地做。,Gōngzuò yào yí bù yí bù de zuò.
老师一句一句地教我们读课文。,Lǎoshī yí jù yí jù de jiāo wǒmen dú kèwén.
这件衣服不大不小，特别合适。,"Zhè jiàn yīfu bú dà bù xiǎo, tèbié héshì."
最近天气不冷不热，很舒服。,"Zuìjìn tiānqì bù lěng bú rè, hěn shūfu."
不一会儿，张校长就来了。,"Bù yíhuìr, Zhāng xiàozhǎng jiù lái le."
时间不一会儿就过去了。,Shíjiān bù yíhuìr jiù guòqù le.
电梯坏了，看来咱们只能走楼梯了。,"Diàntī huài le, kànlái zánmen zhǐ néng zǒu lóutī le."
这么晚了，看来他今天不会来了。,"Zhème wǎn le, kànlái tā jīntiān bú huì lái le."
在同事们看来，她对工作非常认真。,"Zài tóngshìmen kànlái, tā duì gōngzuò fēicháng rènzhēn."
在我看来，坚持读书是一种很好的习惯。,"Zài wǒ kànlái, jiānchí dúshū shì yì zhǒng hěn hǎo de xíguàn."
