chinese,english
他几乎每天都去图书馆学习。,He goes to the library to study almost every day.
他太忙了，几乎没有时间休息。,He is so busy that he hardly has any time to rest.
我当然愿意帮助你。,Of course I'd be happy to help you.
当然没问题，欢迎你参加。,"Of course, no problem at all. You're very welcome to join us."
这个问题其实不难。,This question isn't actually that difficult.
我以为他回国了，其实他一直在中国。,"I thought he'd gone back to his home country, but in fact he's been in China all along."
经过一年多的努力，工作终于完成了。,"After more than a year's hard work, the task has finally been completed."
考试终于都结束了，我太开心了。,The exams are finally over; I'm so happy.
课文有点儿难，我读了三遍才2明白。,The text was a bit difficult; I had to read it three times before I understood it.
这些旧书才3卖了二十多块钱。,Those second-hand books only fetched a bit over twenty yuan.
她今天六点半就起床了。,She got up at half past six this morning.
这个句子不难，我听一遍就懂了。,This sentence isn't difficult; I understood it after hearing it just once.
你可以用手机买票，不必去车站，非常方便。,"You can buy tickets on your mobile phone, so there's no need to go to the station – it's very convenient."
不用担心，我们帮你一起准备。,"Don't worry, we'll help you get everything ready."
生日快乐，这是我为你做的蛋糕。,Happy birthday! Here's the cake I've made for you.
大家为这次比赛做了很多准备。,Everyone has put a great deal of effort into preparing for this competition.
如果你不能去上课，应该向老师请假。,"If you are unable to attend a lesson, you should ask your teacher for permission to be absent."
老师让我们向她学习。,The teacher told us to follow her example.
关于这个问题，我们还需要认真讨论。,We still need to discuss this matter thoroughly.
关于比赛的时间，我明天一定告诉大家。,I'll be sure to let you all know the time of the match tomorrow.
他向门口走去，好像准备离开。,"He walked towards the door, as if he were about to leave."
老师让大家看向前边。,The teacher asked everyone to look ahead.
为了身体健康，我们应该坚持锻炼。,"For the sake of our health, we should keep up with our exercise."
妈妈经常为了工作睡得很晚。,Mum often stays up late because of her work.
大家都为我的好成绩感到高兴。,Everyone was delighted with my good results.
同学们都在为下个星期的考试做准备。,The students are all preparing for next week's exam.
你把箱子放在这儿吧。,Why don't you put the box here?
我的自行车被朋友借走了。,A friend has borrowed my bike.
大家可以根据兴趣选择自己喜欢的运动。,"You can choose whichever sport you like, depending on your interests."
根据要求，我们必须参加明天的会议。,"As requested, we must attend tomorrow's meeting."
我喝茶或/或者咖啡都可以。,I'm happy with either tea or coffee.
我们可以打车或/或者坐地铁去。,We can take a taxi and/or the underground.
只有大家一起想办法，才能解决这个问题。,Only by working together to find a solution can we resolve this issue.
只要你想学，就一定能学好。,"As long as you're willing to learn, you're bound to do well."
我不但学习了中文，而且认识了很多新朋友。,"Not only have I learnt Chinese, but I've also made lots of new friends."
如果你有时间，我想请你参加我的生日晚会。,"If you've got time, I'd like to invite you to my birthday party."
她特别想来中国看看，可一直没有合适的机会。,"She's been really keen to visit China, but hasn't had the right opportunity yet."
我很早就到了机场，可是没想到飞机晚点了。,"I arrived at the airport quite early, but I didn't expect the flight to be delayed."
你先去那边买票，然后过来找我。,"Go over there and buy your ticket first, then come and find me."
你喜欢的话，就送给你吧。,"If you like it, I'll give it to you."
如果明天下雨的话，我们就不去爬山了。,"If it rains tomorrow, we won't go hiking."
首都北京、她一个人、我们学生,"Beijing, the capital; her, all on her own; us students"
漂亮极了、累坏了、看不懂、写得完,"Absolutely lovely, utterly exhausted, can't make head nor tail of it, I'll manage to finish writing it"
工作要一步一步地做。,Work should be done one step at a time.
老师一句一句地教我们读课文。,"The teacher taught us to read the text, one sentence at a time."
这件衣服不大不小，特别合适。,This top isn't too big or too small; it fits perfectly.
最近天气不冷不热，很舒服。,The weather's been neither too cold nor too hot of late; it's very pleasant.
不一会儿，张校长就来了。,It wasn't long before Headteacher Zhang arrived.
时间不一会儿就过去了。,Time flew by in no time at all.
电梯坏了，看来咱们只能走楼梯了。,"The lift's out of order, so it looks like we'll have to take the stairs."
这么晚了，看来他今天不会来了。,It's so late; it looks as though he won't be coming today.
在同事们看来，她对工作非常认真。,"In the eyes of her colleagues, she takes her work very seriously."
在我看来，坚持读书是一种很好的习惯。,"In my view, making a habit of reading is a very good habit."
听说学习中文的年轻人越来越多。,I've heard that more and more young people are learning Chinese.
我越来越习惯这里的生活了。,I'm getting more and more used to life here.
这些菜看起来都很好吃。,These dishes all look delicious.
那个新来的老师看起来很年轻。,That new teacher looks very young.
这道题看上去很难，其实很简单。,"This question looks difficult, but it's actually quite simple."
她看上去不像五十多岁的人。,She doesn't look like someone in her fifties.
一般来说，早上锻炼身体比较好。,"Generally speaking, it is better to exercise in the morning."
一般来说，学习外语需要多练习。,"Generally speaking, learning a foreign language requires plenty of practice."
我觉得这些照片照得不怎么样。,I don't think these photos are very good.
虽然考试前我复习了很长时间，但是成绩不怎么样。,"Although I spent a long time revising before the exam, my results weren't great."
除了看新闻（以外），人们还/也可以在网上看电影、买东西。,"As well as reading the news, people can also watch films and shop online."
除了北京（以外），别的城市我都没去过。,"Apart from Beijing, I haven't been to any other cities."
从那天起，我们就变成了好朋友。,"From that day on, we became good friends."
从现在起，我一定要努力学习。,"From now on, I'm determined to study hard."
对他来说，这个机会非常重要。,"For him, this opportunity is very important."
对我来说，学习汉语很有意思。,"For me, learning Chinese is great fun."
来中国以前，我一句汉语也不会说。,"Before I came to China, I couldn't speak a word of Chinese."
你说的这些地方我一个都没去过。,I haven't been to any of the places you've mentioned.
